Subject_ID,Total_Shapes_Logged,Illegal_Steps_Count,Illegal_Percentage,Group,Platform
ThQbFX,306,3,0.98,ADHD,מקוון
TeCqq9,214,1,0.47,TD,במעבדה
fwe96v,134,1,0.75,ADHD,מקוון
6VasU9,273,0,0,TD,במעבדה
95xyap,231,9,3.9,ADHD,מקוון
27qTZY,120,1,0.83,TD,מקוון
BcGufE,338,1,0.3,ADHD,מקוון
585dPD,229,0,0,ADHD,במעבדה
V3EJt8,324,5,1.54,ADHD,במעבדה
UrghCw,285,8,2.81,ADHD,במעבדה
6m9vuK,200,3,1.5,TD,מקוון
mkbvhj,199,0,0,,
HMepuV,366,3,0.82,ADHD,במעבדה
yDKkeH,422,15,3.55,TD,במעבדה
Tfxtuc,337,12,3.56,ADHD,מקוון
EqkRDu,285,0,0,TD,מקוון
t4z8fx,377,4,1.06,ADHD,מקוון
2BRp8e,304,0,0,TD,מקוון
DnqxaP,315,6,1.9,TD,במעבדה
Dpd4qr,232,3,1.29,TD,מקוון
9JS4rf,241,5,2.07,ADHD,במעבדה
CnjDSf,234,0,0,ADHD,מקוון
cnXgb2,93,1,1.08,ADHD,מקוון
G839ms,348,19,5.46,ADHD,מקוון
F3PYdt,200,2,1,ADHD,מקוון
VE7CuF,229,1,0.44,TD,מעבדה חדר 1
FdwMSA,221,1,0.45,ADHD,במעבדה
957H63,263,7,2.66,TD,במעבדה
EWaC5J,119,27,22.69,ADHD,מקוון
RRMb53,281,3,1.07,TD,מקוון
kPjb3e,217,2,0.92,TD,מקוון
t2ssnw,292,2,0.68,TD,מקוון
EY5GTz,221,2,0.9,TD,במעבדה
אורי,230,2,0.87,,
KdS4cj,195,0,0,TD,מקוון
SAws6H,410,17,4.15,TD,במעבדה
48p53b,270,1,0.37,ADHD,מקוון
wQP4Rw,311,0,0,ADHD,מקוון
zbSRj4,290,10,3.45,TD,מקוון
gxxTvD,177,2,1.13,TD,מקוון
rmpKCM,357,8,2.24,TD,במעבדה
GJxEv8,389,12,3.08,TD,מקוון
acrME7,297,1,0.34,TD,מקוון
6aBPk4,695,27,3.88,TD,מקוון
DjbHGY,360,4,1.11,ADHD,מקוון
WdtMYH,265,1,0.38,TD,מקוון
bDx2rX,271,0,0,ADHD,מקוון
XaecKP,261,1,0.38,TD,מקוון
8w28YG,131,0,0,ADHD,מקוון
y4sAPf,183,0,0,ADHD,מקוון
