ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,robust_median_exploit_pace,robust_threshold_exploit_pace,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
G839ms,2026-01-03T14:05:36.126000,719.087,304,45,0.8724137931034482,8,0.4642857142857143,0.5,12,14.5,15.585999999999984,,,0.4227583032372995,0.13333333333333333,0.4457221448865018,0.9285714285714286,0.4211997641281322,0.4240116013588442,4.321737166,0.6028368794326241,3.5571932655523115,3.7917521606732616,3.5211072816875495,0.051282051,0,0.060606061,6,0.75,4.193393273789184,0.7872340425531915,3.7864354796146347,3.9641101625276733,3.7591009130126283,0.20512820512820518,0.16666666666666663,0.21212121212121215,4,0.5
46fj84,2024-12-19T12:15:18.812000,717.772,245,30,0.9029535864978903,6,0.4,0.6666666666666666,27,13,9.388000000000034,,,0.34133401693016724,0.16666666666666666,0.6806855101620013,0.6000000000000001,0.3397622073900327,0.34468465716965896,4.209273226673848,0.4595744680851064,3.5775025997626515,3.262764359560665,3.640450247803049,0.10344827586206895,0,0.12,6,1,4.160384082147509,0.7021276595744681,3.7825098681433644,3.428970598,3.8532177222541293,0.2068965517241379,0,0.24,2,0.3333333333333333
Y7u23q,2024-12-26T12:39:03.547000,718.767,368,45,0.9413407821229051,9,0.8,0.45,25.5,12,6.573999999999984,,,0.5119878903733754,0.28888888888888886,0.6935001189537082,1.777777777777778,0.511570522,0.512932248,4.360315145,0.680672269,4.092637360424976,4.141615273446663,4.072740083259914,0.33333333333333337,0.23076923076923073,0.375,4,0.4444444444444444,4.210214739529655,0.8543417366946778,4.005986637629173,4.0777930200057035,3.976815294788709,0.5111111111111111,0.5384615384615384,0.5,2,0.2222222222222222
yrcRhl,2024-12-25T18:11:44.141000,655.36,164,19,0.9681528662420382,2,0.7142857142857143,0.5,12,25,35.799000000000035,,,0.250244141,0.47368421052631576,0.6876068115234376,1.4285714285714286,0.25297916250582514,0.24422410003419143,4.252586666088976,0.5512820512820513,3.3467721703406106,3.4338031144564516,3.2684443206363545,0.055555556,0.11111111111111116,0,2,1,4.161045479046612,0.6923076923076923,3.684821804883665,3.7937444605449877,3.586791414788473,0.11111111111111116,0.11111111111111116,0.1,2,1
LtxLUe,2024-12-17T16:37:50.088000,719.711,302,22,0.8448275862068966,4,0.36458333333333337,0.30952380952380953,24,26,18.01400000000001,,,0.41961287238905615,0.18181818181818182,0.5201226603456109,1.1778846153846154,0.4354353552137374,0.4024634236028873,4.092928697874521,0.3846153846153846,3.3234164123257504,3.4809422699655834,3.2884106661835646,0.1,0.33333333333333337,0.055555556,2,0.5,4.11271341,0.5734265734265734,3.5455413953706003,3.496370798849803,3.5564681945974446,0.1,0.33333333333333337,0.055555556,2,0.5
cc4Mur,2024-12-19T10:25:44.939000,718.955,354,41,0.8558558558558559,6,0.358974359,0.4,21,24.5,8.311999999999998,,,0.4923813034195464,0.2682926829268293,0.570415395,0.8974358974358974,0.475490304,0.5148096823073836,4.187238831840119,0.5,3.421610024559904,3.099938745,3.5395561604223333,0.1,0.1,0.1,6,1,4.156005463012732,0.7012195121951219,3.6774840540202893,3.3895572291335303,3.7830572231454345,0.15000000000000002,0.1,0.16666666666666663,2,0.3333333333333333
F3PYdt,2026-01-03T19:55:13.702000,718.884,187,14,0.92,2,0.5267857142857143,0.37857142857142856,45,21,44.31600000000003,,,0.2601254166179801,0.42857142857142855,0.7756522610045571,1.3915094339622642,0.2600411761752068,0.2604166666666667,4.218834689298567,0.5344827586206897,3.320611745775794,3.0939505057899126,3.4906076757652063,0.083333333,0.19999999999999996,0,1,0.5,4.168415511372497,0.7471264367816092,3.5262655445739344,3.3449965379063933,3.6622172995745896,0.083333333,0.19999999999999996,0,1,0.5
emzHyS,2025-01-02T16:46:36.865000,719.831,282,70,0.8044280442804428,12,0.775,0.8166666666666667,6,10,31.187999999999988,,,0.39175862112079085,0.18571428571428572,0.5945784496638795,0.9489795918367347,0.3668258581855905,0.4283242243048298,4.021709418381686,0.3446969696969697,3.410413865223645,3.039577619278254,3.4949905528954006,0.10526315789473684,0,0.13043478260869568,10,0.8333333333333334,4.066105695183195,0.5303030303030303,3.5910754738396533,3.3742011207763776,3.6405380455909278,0.26315789473684215,0,0.32608695652173914,7,0.5833333333333334
kG7Y5M,2025-11-27T10:32:50.622000,719.127,287,23,0.9386281588447654,4,0.42857142857142855,0.3484848484848485,47,25,16.834000000000003,,,0.3990950138153623,0.30434782608695654,0.6322068285574034,1.2298136645962732,0.4135167177330487,0.37430526673976316,4.397986589557892,0.7427536231884058,4.210827942774826,4.1673468597630015,4.229850916592499,0.3913043478260869,0.1428571428571429,0.5,0,0,4.218734459774447,0.8659420289855072,4.1101395864708135,4.134383147954286,4.099533028321795,0.6086956521739131,0.7142857142857143,0.5625,0,0
mkSJjy,2025-01-28T11:16:35.615000,719.817,291,56,0.8642857142857143,9,0.6666666666666666,0.6666666666666666,9.5,17,15.928,,,0.4042694184771963,0.2857142857142857,0.560438278,1,0.36934853363674436,0.4487933148759183,4.112528456489871,0.4,3.468946435300348,3.5776674449518735,3.4254580314397374,0.037735849056603765,0,0.054054054,8,0.8888888888888888,4.1259313746229465,0.6036363636363636,3.6850963795253513,3.709832206487045,3.675202048740674,0.16981132075471694,0.0625,0.21621621621621623,5,0.5555555555555556
6aBPk4,2026-01-21T15:35:44.458000,719.747,217,40,0.8829268292682927,6,0.8333333333333333,0.5,11,16.5,41.089999999999975,,,0.3014948308224974,0.325,0.6164666195204702,1.6666666666666665,0.27946810908271363,0.3368991512314931,4.203670368,0.4356435643564357,3.4110264925244764,3.2164935749273593,3.504690489886051,0.10526315789473684,0,0.15384615384615385,3,0.5,4.158195904595099,0.698019802,3.6052151227181484,3.484532126225238,3.6633217506591786,0.078947368,0,0.11538461538461542,4,0.6666666666666666
KdS4cj,2026-01-13T17:00:51.312000,702.808,174,22,0.8616352201257862,3,0.6666666666666666,0.4772727272727273,20,20,30.845999999999975,,,0.24757828596145748,0.2727272727272727,0.5081743520278653,1.3968253968253967,0.2631954730378637,0.23144197026549287,4.227902674718209,0.5032258064516129,3.7152917612318235,4.385625622283196,3.463916563337558,0.23809523809523814,0.5,0.1333333333333333,2,0.6666666666666666,4.165486426041052,0.6967741935483871,3.7640907993235158,4.123150581,3.629443381281998,0.23809523809523814,0.5,0.1333333333333333,1,0.3333333333333333
HMepuV,2025-12-25T12:07:23.108000,719.737,304,63,0.8536585365853658,11,0.5357142857142857,0.75,10,7,18.729000000000006,,,0.42237650697407525,0.25396825396825395,0.619954233,0.7142857142857143,0.40788518256223616,0.4460156544182969,4.0864071772847215,0.3381294964028777,3.656192042279892,3.4161467055923262,3.7379096037054462,0.1,0.1333333333333333,0.086956522,8,0.7272727272727273,4.134093574779779,0.6474820143884892,3.836000867870259,3.6981725601690663,3.8829211428323664,0.2666666666666667,0.19999999999999996,0.28260869565217395,4,0.36363636363636365
eC06dywT,2025-01-20T12:18:25.108000,718.926,220,31,0.9565217391304348,6,0.4444444444444444,0.6125,12,12.5,24.480999999999995,,,0.3060120234905957,0.2903225806451613,0.611099056,0.7256235827664398,0.2959017606154756,0.32189877356567276,4.424114741327912,0.775609756,4.230506485848524,3.840155457128157,4.390195543052312,0.3548387096774194,0.11111111111111116,0.4545454545454546,0,0,4.225516948612432,0.8829268292682927,4.143858977445024,4.0163511863349335,4.196021255626425,0.5806451612903225,0.33333333333333337,0.6818181818181819,0,0
vXm87u,2025-11-26T17:13:01.658000,718.319,245,54,0.8454935622317596,8,0.625,0.6666666666666666,15,13.5,31.28,,,0.3410740910375474,0.2222222222222222,0.5555665379866049,0.9375,0.31573091707302403,0.3727544675719276,4.125539387031786,0.3580786026200873,3.426502947381371,3.2432153829108525,3.4788708229443754,0.094339623,0.18181818181818177,0.071428571,8,1,4.129358013849986,0.5938864628820961,3.6230145146410866,3.4485358383658316,3.6728655650054454,0.16981132075471694,0.18181818181818177,0.16666666666666663,5,0.625
wCpBYv,2025-11-25T15:01:38.075000,719.782,203,26,0.9251336898395722,6,0.6666666666666666,0.5714285714285714,23,9,18.336000000000013,,,0.2820298368117013,0.19230769230769232,0.6056222578502933,1.1666666666666667,0.2890465135484819,0.2712547469580716,4.199368414080517,0.446236559,3.382513125710922,3.3576490360347586,3.388433147,0.076923077,0,0.095238095,4,0.6666666666666666,4.149475176663802,0.6451612903225806,3.633798323,3.638173174148534,3.632756691689992,0.11538461538461542,0,0.1428571428571429,1,0.16666666666666666
