ID,reason
talerditest,Did not exploit
talerditest,Game length too short
999999,Game length too short
talerditest,Game duration too short
999999,Game duration too short
aWb5B4,Game duration too short
x8Q5jE1h,Game duration too short
EXAMPLE,Paused for too long
vQtQiu,Paused for too long
9CHQKL,Paused for too long
LSV8bI,Paused for too long
x8Q5jE1h,Paused for too long
uhLE7P,Explore length outlier
 EG8LWj,Explore length outlier
jUleiG,Explore length outlier
EDEWtP,Exploit length outlier
x2GCd4,Exploit length outlier
