ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,robust_median_exploit_pace,robust_threshold_exploit_pace,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
t4z8fx,2025-12-28T14:09:58.538000,719.636,306,77,0.9523809523809523,15,0.8,1,7,10,7.775000000000006,,,0.4252149697902829,0.19480519480519481,0.5662529389858207,0.8,0.38282584368926315,0.480553598,4.218841214144191,0.48464163822525597,3.718905013468126,3.359021082868166,3.805973706355214,0.21621621621621623,0.066666667,0.2542372881355932,9,0.6,4.143722137505432,0.6484641638225256,3.7998123783364446,3.5914423253661214,3.8502244879260377,0.31081081081081086,0.19999999999999996,0.3389830508474576,3,0.2
4zPN8R,2025-11-27T11:46:56.366000,719.591,243,18,0.8189655172413793,2,0.2777777777777778,0.29166666666666663,45,53,37.18399999999997,,,0.33769182771880135,0.2777777777777778,0.539776067,0.9523809523809526,0.35271279909787906,0.32007440220066247,4.2220186510741975,0.4755555555555555,3.9587804255380146,3.4619318334918923,4.149876037863446,0.33333333333333337,0.19999999999999996,0.3846153846153846,0,0,4.139344014553782,0.6711111111111111,3.992312179949864,3.6496499975390897,4.124105327030931,0.5,0.19999999999999996,0.6153846153846154,0,0
yktTkS,2025-12-01T16:51:36.830000,719.959,313,41,0.9220338983050848,8,0.6666666666666666,0.5,14,13,31.193000000000012,,,0.43474697864739525,0.12195121951219512,0.5896919130117132,1.3333333333333333,0.39099855377643367,0.4976219089047241,4.209018892030063,0.4897959183673469,4.113920419,3.982157538,4.1322208194527095,0.36585365853658536,0.19999999999999996,0.38888888888888884,2,0.25,4.161844568576621,0.7210884353741497,4.027298672,4.010667601,4.029608543192682,0.5121951219512195,0.6,0.5,2,0.25
Dpd4qr,2025-12-29T15:15:39.811000,600.463,193,45,0.925531915,7,0.675,0.8,10.5,10,63.245000000000005,,,0.32141863861720044,0.26666666666666666,0.5919049133751787,0.84375,0.2757324494889103,0.38768231270863424,4.238730281945482,0.4812834224598931,3.8756090416326767,4.046438726213103,3.8134891563307027,0.2222222222222222,0.16666666666666663,0.24242424242424243,4,0.5714285714285714,4.164267216132982,0.7272727272727273,3.870462655687498,3.9610281986732425,3.837529731,0.4,0.41666666666666663,0.3939393939393939,4,0.5714285714285714
kPjb3e,2026-01-09T16:07:48.882000,676.353,184,36,0.8305084745762712,4,0.45238095238095233,0.6333333333333333,28,17.5,28.98300000000006,,,0.27204728891569935,0.2777777777777778,0.5997223343431609,0.7142857142857142,0.2514644103899178,0.30288591174200025,4.013784154177517,0.2906976744186046,3.1119692748971577,3.088136033368507,3.1211359062543305,0.037037037,0,0.047619048,4,1,4.108949242,0.5697674418604651,3.4969419048629695,3.500488771117456,3.4955777255343197,0.11111111111111116,0.1,0.095238095,3,0.75
KRFF0w,2025-01-16T10:20:30.457000,718.978,254,22,0.9344262295081968,4,0.5,0.4,22,31,13.394999999999982,,,0.35327923802953637,0.22727272727272727,0.5047609245345477,1.25,0.3471916056785116,0.3594839159032315,4.332047578742859,0.625,3.360354946448507,2.9724306008498758,3.4744503422128115,0.045454545454545414,0,0.058823529,2,0.5,4.1872916244292675,0.8125,3.661463469669881,3.3726012617312113,3.7464229425930187,0.2272727272727273,0,0.2941176470588235,1,0.25
  QElY1e,2024-12-03T09:48:40.383000,718.823,215,24,0.9296482412060302,5,0.5606060606060606,0.3666666666666667,24,16,14.220999999999975,,,0.2991000566203363,0.25,0.6278944886293288,1.5289256198347105,0.31461520566307366,0.2729196419892478,4.335573923410758,0.6142131979695431,4.025894198127481,4.005075417499271,4.032833791670218,0.26086956521739135,0.33333333333333337,0.23529411764705888,3,0.6,4.191293336581233,0.7766497461928934,3.9739804884597234,3.908666355272165,3.995751866,0.4782608695652174,0.16666666666666663,0.5882352941176471,1,0.2
ywsSnI,2024-11-25T09:43:15.493000,716.71,152,19,0.9194630872483222,3,0.5777777777777777,0.4166666666666667,21,26,20.75699999999999,,,0.21208019980187243,0.3157894736842105,0.5890346165115597,1.3866666666666665,0.19186719947319425,0.24105139147764504,4.273087385981935,0.5405405405405406,4.3501916576202095,4.225266798227836,4.407849285032072,0.42105263157894735,0.33333333333333337,0.46153846153846156,0,0,4.167729401342706,0.7094594594594594,4.115125862138746,4.026266452478004,4.156137897366781,0.631578947,0.6666666666666667,0.6153846153846154,1,0.3333333333333333
BcGufE,2025-12-18T11:02:10.742000,719.62,227,77,0.9357798165137615,13,0.7272727272727273,1,6.5,6,28.78099999999995,,,0.3154442622495206,0.18181818181818182,0.5630068647341653,0.7272727272727273,0.26163084874528264,0.3847756058625811,4.3582817584050755,0.662037037,4.257745424140471,4.461171541348619,4.21253962,0.29333333333333333,0.4285714285714286,0.2622950819672131,3,0.23076923076923078,4.203320511799172,0.8194444444444444,4.127334259522438,4.179497010091823,4.115742537173682,0.56,0.5,0.5737704918032787,2,0.15384615384615385
uT2p5Kxu,2025-01-14T11:14:06.140000,716.491,244,25,0.9447004608294931,5,0.4307692307692308,0.39230769230769236,20,11,24.13499999999999,,,0.34054859028236223,0.16,0.5280108193961961,1.0980392156862744,0.3330557868442965,0.34893073429220284,4.280371669443073,0.5648148148148149,3.906155742507518,3.9129510546638926,3.904861397334876,0.24,0.25,0.23809523809523814,4,0.8,4.171707988188955,0.7407407407407407,3.851327785061838,3.7701505751973468,3.866790110750313,0.36,0.25,0.38095238095238093,1,0.2
